id,polititian_id,position,employer,start_at,end_at,description,created_at,updated_at
1090,1090,Abogada en Bufete,Bufete Guardiola y Puig,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1061,1061,Actor productor y director de Teatro,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1041,1041,Administrativo,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1060,1060,Administrativo,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1021,1021,Agricultora y ganadera con actividad complementaria de turismo rural,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1040,1040,Asesor Fiscal,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1048,1048,Catedratica de Instituto,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1013,1013,Catedratico de Bachillerato,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1038,1038,Catedratico de Derecho Internacional Publico y Relaciones Internacionales,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1015,1015,Catedratico de economia aplicada,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1084,1084,Catedratico de Universidad,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1044,1044,Comentarista de television,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1050,1050,Comisario del Cuerpo Nacional de Policia,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1036,1036,Consultor Senior Internacional,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1019,1019,Contable en diversas empresas,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1064,1064,Coordinador de The Atlantic Basin Initiative,Universidad Johns Hopkins,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1053,1053,Empresario,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1047,1047,Escritor,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1010,1010,Farmaceutico adjunto,Oficina de Farmacia,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1009,1009,Funcionario de carrera perteneciente al Cuerpo Nacional de Veterinarios,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1039,1039,Gestor Administrativo,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1001,1001,Maestro,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1027,1027,Maestro,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1052,1052,Maestro,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1067,1067,Maestro,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1062,1062,Medica en Atencion Primaria de Salud en Servicio de Salud de Asturias,Servicio de Salud de Asturias,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1055,1055,Miembro Carrera Fiscal y Judicial,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1073,1073,Notaria,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1012,1012,Periodista,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1058,1058,Presidente,Fundacion Acsar,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1080,1080,Profesor asociado en Derecho Internacional Publico y RRII,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1095,1095,Profesor de Ciencia Politica,Universidad de Tarragona,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1068,1068,Profesor de Derecho del Trabajo,Universidad de Cordoba,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1086,1086,Profesor de la UNIR,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1023,1023,Profesor Universitario,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1032,1032,Profesor Universitario,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1089,1089,Profesor Universitario,Universidad de Deusto,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1043,1043,Profesora asociada,EPSA,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1087,1087,Profesora asociada UVA,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1035,1035,Profesora de Derecho Constitucional,Universitat Pompeu Fabra,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1026,1026,Radio,Radio Nacional - Antena 3,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1011,1011,Responsable de programas de prevencion,Fundacion Mujeres,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1075,1075,Tecnico Administracion,ENUS de Madrid,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1042,1042,Tecnico Superior de Organismos Autonomos,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
